,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Plcb1,1.09772493387698e-107,-0.9507155040475,0.017,0.392,3.64192201312366e-103
Aldh1l1,1.45361018098478e-107,-1.39518953989707,0.148,0.622,4.82264249745319e-103
Gm2a,1.52038302067922e-107,-1.6156074367902,0.23,0.687,5.04417474770746e-103
Cfap126,1.64652165600108e-107,1.36855563766768,0.655,0.007,5.4626648981148e-103
Rnf213,1.72732120689549e-107,-1.67556730477853,0.056,0.477,5.73073356811715e-103
Hspe1,1.99943105258228e-107,1.14321676712144,0.989,0.707,6.63351240315223e-103
Rexo2,2.13597221991816e-107,1.13813711321361,0.941,0.426,7.08651503402247e-103
Paqr6,2.30208863971167e-107,-0.891790813403472,0.011,0.372,7.63763947997139e-103
Usp53,6.12996802223068e-107,-2.04366038377205,0.122,0.577,2.03373949073547e-102
Rnh1,1.57778621637088e-106,1.32371680434562,0.911,0.372,5.23462133005368e-102
mt-Nd4,2.26738150250434e-106,-1.03921436247149,0.995,0.998,7.52249161085865e-102
Abat,7.44914878934028e-106,-1.28482798719629,0.08,0.516,2.47140409383942e-101
